operator_id,name,license_type,experience_years,certification_level,shift
OP-001,Raj 001,Heavy Equipment - Class A,7,Intermediate,Night
OP-002,Amit 002,Heavy Equipment - Class A,5,Intermediate,Day
OP-003,Suresh 003,Heavy Equipment - Class B,8,Advanced,Night
OP-004,Vikram 004,Heavy Equipment - Class A,12,Advanced,Day
OP-005,Arjun 005,Heavy Equipment - Class A,5,Intermediate,Night
OP-006,Karthik 006,Heavy Equipment - Class A,5,Intermediate,Day
OP-007,Manoj 007,Heavy Equipment - Class A,12,Advanced,Night
OP-008,Deepak 008,Heavy Equipment - Class A,9,Advanced,Day
OP-009,Ganesh 009,Heavy Equipment - Class B,4,Intermediate,Night
OP-010,Naveen 010,Heavy Equipment - Class A,8,Advanced,Day
OP-011,Prakash 011,Heavy Equipment - Class A,4,Intermediate,Night
OP-012,Sanjay 012,Heavy Equipment - Class A,4,Intermediate,Day
OP-013,Ramesh 013,Heavy Equipment - Class A,6,Intermediate,Night
OP-014,Vinod 014,Heavy Equipment - Class A,0,Beginner,Day
OP-015,Anil 015,Heavy Equipment - Class A,0,Beginner,Night
